team,wins,losses,division,conference
TORONTO RAPTORS,59,23,ATLANTIC,EASTERN
BOSTON CELTICS,55,27,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,52,30,ATLANTIC,EASTERN
NEW YORK KNICKS,29,53,ATLANTIC,EASTERN
BROOKLYN NETS,28,54,ATLANTIC,EASTERN
CLEVELAND CAVALIERS,50,32,CENTRAL,EASTERN
INDIANA PACERS,48,34,CENTRAL,EASTERN
MILWAUKEE BUCKS,44,38,CENTRAL,EASTERN
DETROIT PISTONS,39,43,CENTRAL,EASTERN
CHICAGO BULLS,27,55,CENTRAL,EASTERN
MIAMI HEAT,44,38,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,43,39,SOUTHEAST,EASTERN
CHARLOTTE HORNETS,36,46,SOUTHEAST,EASTERN
ORLANDO MAGIC,25,57,SOUTHEAST,EASTERN
ATLANTA HAWKS,24,58,SOUTHEAST,EASTERN
PORTLAND TRAIL BLAZERS,49,33,NORTHWEST,
OKLAHOMA CITY THUNDER,48,34,NORTHWEST,
UTAH JAZZ,48,34,NORTHWEST,
MINNESOTA TIMBERWOLVES,47,35,NORTHWEST,
DENVER NUGGETS,46,36,NORTHWEST,
GOLDEN STATE WARRIORS,58,24,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,42,40,PACIFIC,WESTERN
LOS ANGELES LAKERS,35,47,PACIFIC,WESTERN
SACRAMENTO KINGS,27,55,PACIFIC,WESTERN
PHOENIX SUNS,21,61,PACIFIC,WESTERN
HOUSTON ROCKETS,65,17,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,48,34,SOUTHWEST,WESTERN
SAN ANTONIO SPURS,47,35,SOUTHWEST,WESTERN
DALLAS MAVERICKS,24,58,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,22,60,SOUTHWEST,WESTERN
