team,wins,losses,division,conference
TORONTO RAPTORS,53,19,ATLANTIC,EASTERN
BOSTON CELTICS,48,24,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,43,30,ATLANTIC,EASTERN
BROOKLYN NETS,35,37,ATLANTIC,EASTERN
NEW YORK KNICKS,21,45,ATLANTIC,EASTERN
MILWAUKEE BUCKS,56,17,CENTRAL,EASTERN
INDIANA PACERS,45,28,CENTRAL,EASTERN
CHICAGO BULLS,22,43,CENTRAL,EASTERN
DETROIT PISTONS,20,46,CENTRAL,EASTERN
CLEVELAND CAVALIERS,19,46,CENTRAL,EASTERN
MIAMI HEAT,44,29,SOUTHEAST,EASTERN
ORLANDO MAGIC,33,40,SOUTHEAST,EASTERN
CHARLOTTE HORNETS,23,42,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,25,47,SOUTHEAST,EASTERN
ATLANTA HAWKS,20,47,SOUTHEAST,EASTERN
DENVER NUGGETS,46,27,NORTHWEST,
OKLAHOMA CITY THUNDER,44,28,NORTHWEST,
UTAH JAZZ,44,28,NORTHWEST,
PORTLAND TRAIL BLAZERS,35,39,NORTHWEST,
MINNESOTA TIMBERWOLVES,19,45,NORTHWEST,
LOS ANGELES LAKERS,52,19,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,49,23,PACIFIC,WESTERN
PHOENIX SUNS,34,39,PACIFIC,WESTERN
SACRAMENTO KINGS,31,41,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,15,50,PACIFIC,WESTERN
HOUSTON ROCKETS,44,28,SOUTHWEST,WESTERN
DALLAS MAVERICKS,43,32,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,34,39,SOUTHWEST,WESTERN
SAN ANTONIO SPURS,32,39,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,30,42,SOUTHWEST,WESTERN
