team,wins,losses,division,conference
BOSTON CELTICS,39,27,ATLANTIC,EASTERN
NEW YORK KNICKS,36,30,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,35,31,ATLANTIC,EASTERN
TORONTO RAPTORS,23,43,ATLANTIC,EASTERN
NEW JERSEY NETS,22,44,ATLANTIC,EASTERN
CHICAGO BULLS,50,16,CENTRAL,EASTERN
INDIANA PACERS,42,24,CENTRAL,EASTERN
MILWAUKEE BUCKS,31,35,CENTRAL,EASTERN
DETROIT PISTONS,25,41,CENTRAL,EASTERN
CLEVELAND CAVALIERS,21,45,CENTRAL,EASTERN
MIAMI HEAT,46,20,SOUTHEAST,EASTERN
ATLANTA HAWKS,40,26,SOUTHEAST,EASTERN
ORLANDO MAGIC,37,29,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,20,46,SOUTHEAST,EASTERN
CHARLOTTE BOBCATS,7,59,SOUTHEAST,EASTERN
OKLAHOMA CITY THUNDER,47,19,NORTHWEST,
DENVER NUGGETS,38,28,NORTHWEST,
UTAH JAZZ,36,30,NORTHWEST,
PORTLAND TRAIL BLAZERS,28,38,NORTHWEST,
MINNESOTA TIMBERWOLVES,26,40,NORTHWEST,
LOS ANGELES LAKERS,41,25,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,40,26,PACIFIC,WESTERN
PHOENIX SUNS,33,33,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,23,43,PACIFIC,WESTERN
SACRAMENTO KINGS,22,44,PACIFIC,WESTERN
SAN ANTONIO SPURS,50,16,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,41,25,SOUTHWEST,WESTERN
DALLAS MAVERICKS,36,30,SOUTHWEST,WESTERN
HOUSTON ROCKETS,34,32,SOUTHWEST,WESTERN
NEW ORLEANS HORNETS,21,45,SOUTHWEST,WESTERN
